-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  19.672   longitude 78.5359 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 334.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
SLP             MERRA-2 Sea Level Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,RH2M,WS10M_MAX,WS10M_MIN,T2M,TS,T2M_MAX,T2M_MIN,SLP
2023,3,3,0.0,27.41,3.89,0.77,29.23,29.85,36.86,21.73,101.62
2023,3,4,0.0,26.49,4.08,2.22,29.05,30.45,37.06,21.71,101.62
2023,3,5,0.0,21.01,3.57,2.21,28.51,29.85,37.2,19.9,101.56
2023,3,6,0.0,22.12,3.2,1.93,28.31,29.51,36.7,20.13,101.39
2023,3,7,0.11,24.62,3.14,1.59,27.34,28.77,35.39,20.52,101.45
2023,3,8,0.04,26.64,3.27,1.23,27.75,30.13,35.98,19.36,101.43
2023,3,9,0.0,24.92,3.06,1.46,28.09,30.33,35.67,19.87,101.34
2023,3,10,0.0,23.08,3.0,0.95,28.99,31.46,36.46,22.37,101.28
2023,3,11,0.0,25.59,2.95,1.66,28.26,30.38,36.48,20.42,101.3
2023,3,12,0.0,25.18,2.89,1.83,28.87,30.59,37.23,20.26,101.25
2023,3,13,0.0,28.01,3.11,1.75,28.67,29.86,35.92,21.3,101.15
2023,3,14,0.0,23.93,2.97,0.23,29.81,31.11,37.23,24.42,100.94
2023,3,15,0.0,24.59,3.96,1.87,29.19,30.75,37.04,20.83,100.85
2023,3,16,1.58,32.92,3.1,0.44,28.91,30.66,35.14,23.42,101.01
2023,3,17,0.83,43.21,4.18,2.01,26.97,28.41,31.76,23.27,101.13
2023,3,18,6.91,51.22,4.23,1.17,27.01,29.08,33.06,21.66,100.96
2023,3,19,2.9,63.73,4.99,0.61,25.56,27.63,30.94,21.42,100.82
2023,3,20,0.17,54.13,3.91,0.22,26.8,29.55,33.92,19.48,100.67
2023,3,21,0.0,42.67,5.84,1.15,28.01,29.86,34.58,20.58,100.7
2023,3,22,0.0,40.33,3.36,1.38,29.17,31.83,35.81,22.0,100.76
2023,3,23,0.01,37.29,3.19,1.21,29.46,32.32,35.53,23.21,100.77
2023,3,24,0.08,37.62,3.96,0.21,30.86,34.48,37.69,23.6,100.78
2023,3,25,0.27,41.73,3.48,1.21,31.15,34.03,37.85,23.85,100.86
2023,3,26,0.27,35.37,3.83,1.8,30.93,33.12,38.69,24.95,100.76
2023,3,27,0.0,22.18,4.15,1.98,29.85,32.38,38.46,21.25,100.8
2023,3,28,0.0,20.26,2.87,0.25,30.49,32.87,39.22,20.22,100.77
2023,3,29,0.0,29.5,4.51,0.38,31.9,33.66,39.73,22.77,100.78
2023,3,30,0.0,26.05,3.6,1.33,31.76,34.2,40.36,23.77,100.62
2023,3,31,0.0,28.66,5.7,1.86,30.17,33.12,37.92,21.53,100.68
2023,4,1,0.01,27.19,4.54,1.4,30.32,33.32,37.57,22.84,100.77
2023,4,2,0.0,22.53,3.94,1.0,30.4,33.09,38.34,21.11,100.72
2023,4,3,0.0,24.79,2.3,0.15,31.85,34.26,39.49,22.92,100.63
2023,4,4,0.0,23.81,3.3,0.8,31.82,34.73,39.83,23.52,100.73
2023,4,5,0.0,22.67,4.76,1.56,32.5,35.13,40.47,23.67,100.72
2023,4,6,0.0,26.78,4.52,1.45,32.72,35.57,40.07,25.03,100.84
2023,4,7,1.75,36.55,4.26,0.52,32.18,34.91,39.08,25.26,101.09
2023,4,8,0.58,41.84,5.8,1.78,30.79,34.12,37.19,25.01,101.34
2023,4,9,0.25,36.62,3.69,1.45,31.43,34.58,38.05,24.14,101.28
2023,4,10,0.09,33.35,3.86,1.52,32.44,35.65,39.47,25.43,101.12
2023,4,11,0.0,28.55,2.42,1.3,34.15,37.58,41.47,26.16,101.0
2023,4,12,0.0,24.6,3.93,1.12,35.18,37.81,42.1,28.59,100.91
2023,4,13,0.0,25.16,5.32,0.55,34.65,36.44,40.93,27.4,100.84
2023,4,14,0.01,27.9,9.67,2.24,33.57,35.4,40.02,27.61,100.87
2023,4,15,0.26,29.98,7.0,1.03,31.77,33.74,39.64,25.79,100.94
2023,4,16,0.0,23.78,4.19,1.74,33.4,35.48,41.55,25.22,100.72
2023,4,17,0.0,20.95,3.2,1.32,33.97,35.63,40.99,25.79,100.7
2023,4,18,0.13,22.39,2.96,0.45,35.29,37.48,42.16,27.78,100.79
2023,4,19,0.08,22.02,2.88,0.19,36.28,38.25,42.16,29.38,100.55
2023,4,20,2.24,23.93,6.33,0.89,34.93,37.42,40.93,29.58,100.36
2023,4,21,2.21,34.13,6.77,0.52,33.36,36.94,40.0,25.7,100.45
2023,4,22,3.69,34.67,3.15,0.32,33.21,35.47,39.02,27.3,100.41
2023,4,23,0.83,40.34,4.83,0.09,31.74,34.46,38.08,24.93,100.47
2023,4,24,0.69,45.34,6.8,1.92,31.32,34.18,37.16,25.41,100.73
2023,4,25,6.43,55.77,6.68,2.55,29.88,31.39,35.69,25.49,100.82
2023,4,26,3.66,58.8,4.3,0.97,28.41,29.55,34.61,23.77,100.81
2023,4,27,2.4,51.31,3.99,2.14,29.09,30.99,36.3,22.25,100.83
2023,4,28,1.45,54.01,3.93,1.12,29.17,31.0,35.55,23.65,100.94
2023,4,29,9.12,57.12,3.09,0.36,29.28,30.99,35.52,22.95,100.85
2023,4,30,42.47,67.53,3.53,1.2,28.26,29.59,33.98,24.03,100.63
2023,5,1,2.99,68.9,5.98,2.83,27.66,29.42,33.51,22.94,100.71
2023,5,2,6.67,69.14,6.53,1.99,27.64,29.6,33.68,22.22,100.8
2023,5,3,10.46,66.56,2.57,0.44,27.87,30.14,33.2,23.1,100.93
2023,5,4,2.57,64.3,3.46,0.56,28.57,31.04,34.09,23.25,100.82
2023,5,5,2.44,61.6,1.94,0.32,29.37,31.57,34.27,23.84,100.67
2023,5,6,0.49,55.52,4.18,0.25,31.12,32.87,37.01,24.31,100.55
2023,5,7,0.01,50.42,3.5,1.54,32.23,34.01,38.79,25.9,100.51
2023,5,8,0.12,51.43,2.78,1.46,32.5,34.5,39.26,25.61,100.46
2023,5,9,0.0,52.23,3.55,0.46,32.99,34.73,39.52,26.36,100.52
2023,5,10,0.0,49.28,3.83,2.06,33.27,34.88,40.43,26.82,100.47
2023,5,11,0.0,40.13,4.66,1.65,32.67,33.56,41.04,26.14,100.56
2023,5,12,0.0,31.33,4.4,1.03,32.53,33.28,41.82,23.67,100.48
2023,5,13,0.0,28.74,4.77,0.61,33.96,33.68,42.36,25.21,100.38
2023,5,14,0.0,29.7,11.37,2.69,33.59,34.06,43.8,24.08,100.16
2023,5,15,0.0,34.29,9.69,2.76,33.84,35.03,41.51,26.23,100.33
2023,5,16,0.0,33.97,7.75,2.86,33.95,35.84,41.82,27.06,100.54
2023,5,17,0.0,36.57,7.16,1.88,33.75,35.99,41.45,25.75,100.65
2023,5,18,0.0,36.93,4.14,1.35,34.55,36.07,40.67,28.05,100.74
2023,5,19,0.0,31.69,5.88,0.77,36.03,37.74,42.69,29.16,100.56
2023,5,20,0.0,29.23,3.98,0.58,36.08,38.0,43.05,27.92,100.47
2023,5,21,0.06,31.92,3.34,1.3,35.94,38.32,43.75,27.68,100.57
2023,5,22,0.44,37.04,4.58,0.63,35.55,38.67,42.26,28.8,100.69
2023,5,23,0.0,32.08,5.1,0.55,35.84,39.33,42.8,27.95,100.69
2023,5,24,0.22,29.37,6.69,1.81,36.57,39.04,43.33,29.87,100.56
2023,5,25,0.64,29.22,8.25,2.03,35.96,38.17,42.12,30.59,100.56
2023,5,26,0.0,26.84,8.94,2.82,34.39,36.68,41.96,28.01,100.65
2023,5,27,0.03,28.27,6.64,2.03,35.08,37.73,42.64,28.14,100.52
2023,5,28,0.02,31.75,6.61,0.4,35.97,38.99,42.41,28.57,100.5
2023,5,29,8.15,33.24,4.42,0.29,35.88,38.74,42.84,29.51,100.54
2023,5,30,6.73,49.03,5.13,0.2,32.86,34.24,39.25,27.79,100.59
2023,5,31,0.0,45.2,4.32,0.83,33.97,35.99,40.95,27.17,100.52
2023,6,1,0.0,34.46,5.51,0.32,34.75,36.49,41.83,26.85,100.43
2023,6,2,0.0,26.67,7.66,3.15,35.14,37.04,42.92,27.5,100.37
2023,6,3,0.01,30.48,8.19,1.92,35.98,38.53,42.78,28.88,100.36
2023,6,4,5.89,37.28,6.82,3.16,34.85,36.53,40.64,29.91,100.37
2023,6,5,0.23,36.84,7.84,2.65,34.32,36.24,41.25,27.66,100.3
2023,6,6,0.21,32.74,7.61,2.86,35.35,37.35,42.49,28.68,100.21
2023,6,7,0.24,31.19,7.85,2.59,36.16,38.18,42.99,29.8,100.16
2023,6,8,0.04,29.15,7.84,2.82,35.77,37.69,42.22,29.01,100.2
2023,6,9,0.0,30.42,9.36,2.17,36.64,38.76,43.27,30.62,100.04
2023,6,10,1.84,32.81,9.66,1.92,36.43,38.74,42.75,30.66,99.99
2023,6,11,0.29,36.11,9.17,2.02,36.2,39.24,42.58,29.78,100.05
2023,6,12,0.09,33.7,7.68,2.19,36.62,39.46,42.38,31.18,100.03
2023,6,13,0.08,32.0,9.04,2.59,36.97,39.67,42.88,30.9,100.07
2023,6,14,0.0,36.65,9.18,1.13,34.51,36.45,37.83,30.68,100.28
2023,6,15,0.01,31.26,9.37,1.88,35.64,38.02,41.78,29.75,100.3
2023,6,16,0.0,31.09,7.42,2.24,36.68,39.41,43.02,29.86,100.2
2023,6,17,0.0,39.59,8.51,3.49,34.71,36.83,39.78,30.68,100.27
2023,6,18,0.0,39.73,6.53,0.47,33.5,34.82,37.98,30.14,100.28
2023,6,19,0.0,31.09,8.11,1.31,35.17,37.08,41.04,30.95,100.16
2023,6,20,0.0,32.79,7.6,1.92,36.4,39.38,41.74,30.79,100.05
2023,6,21,1.24,50.87,6.58,0.82,32.44,34.02,35.74,28.47,100.21
2023,6,22,5.91,64.92,5.27,1.16,30.1,31.77,34.66,27.44,100.26
2023,6,23,3.88,66.78,4.83,1.44,29.16,30.24,33.82,26.19,100.34
2023,6,24,2.35,67.28,3.63,1.53,29.48,31.43,35.02,25.3,100.26
2023,6,25,1.85,62.93,5.28,2.73,29.8,31.22,34.5,25.77,100.12
2023,6,26,23.45,69.06,8.17,3.58,26.14,26.11,28.62,23.13,100.28
2023,6,27,6.9,75.59,9.35,4.67,24.76,25.0,27.7,21.99,100.28
2023,6,28,3.54,76.88,8.17,1.75,25.81,26.1,29.05,22.82,100.44
2023,6,29,0.92,66.8,7.95,2.4,28.98,29.95,35.19,24.13,100.36
2023,6,30,0.04,63.41,8.35,2.29,27.82,28.52,32.14,23.55,100.38
2023,7,1,0.19,61.34,7.89,3.65,30.02,31.07,35.9,24.69,100.38
2023,7,2,0.06,64.2,6.68,1.76,30.43,31.69,35.39,25.68,100.32
2023,7,3,0.13,66.96,6.21,1.54,30.35,31.24,34.85,26.59,100.19
2023,7,4,9.68,69.95,4.4,1.39,30.32,31.27,35.22,26.74,99.94
2023,7,5,25.93,78.24,4.39,1.86,28.97,30.06,33.78,25.73,99.75
2023,7,6,25.21,77.97,5.87,2.3,28.75,29.49,33.48,25.13,99.96
2023,7,7,13.7,79.4,7.2,3.02,27.87,28.4,32.46,25.0,100.19
2023,7,8,10.84,77.65,7.39,2.39,27.78,28.17,32.64,24.43,100.34
2023,7,9,1.25,74.57,6.39,2.2,28.08,28.79,33.29,24.03,100.46
2023,7,10,23.38,77.31,6.37,1.95,28.11,28.59,32.15,24.63,100.42
2023,7,11,21.03,84.71,7.12,2.77,26.48,26.5,29.47,24.24,100.38
2023,7,12,5.37,85.01,7.52,3.73,26.29,26.53,29.88,24.0,100.23
2023,7,13,9.9,83.43,8.39,2.4,25.84,26.03,28.59,23.69,100.27
2023,7,14,24.36,81.58,5.43,1.51,26.89,27.19,30.67,23.53,100.42
2023,7,15,8.69,83.92,6.92,2.1,26.33,26.44,29.31,24.47,100.42
2023,7,16,11.9,84.95,9.21,3.61,25.79,25.85,29.23,23.22,100.33
2023,7,17,9.27,81.86,8.89,2.46,26.69,26.72,30.61,23.72,100.19
2023,7,18,71.48,91.11,8.7,5.48,25.9,25.7,28.35,23.95,99.97
2023,7,19,19.29,87.3,7.4,3.56,26.72,26.78,31.19,23.47,99.78
2023,7,20,29.13,89.2,6.09,3.91,26.93,27.08,30.27,24.54,99.77
2023,7,21,29.61,89.76,7.94,4.61,25.99,26.07,29.22,23.41,99.92
2023,7,22,81.52,90.37,7.99,4.88,26.26,26.22,29.86,23.5,99.93
2023,7,23,24.35,87.77,8.27,2.0,26.25,26.26,29.5,23.13,100.12
2023,7,24,20.72,84.15,6.64,0.27,27.39,27.6,31.47,23.75,100.12
2023,7,25,8.07,88.56,7.78,1.92,27.02,26.97,29.72,25.07,100.18
2023,7,26,41.49,88.31,8.59,2.67,26.93,26.87,30.24,24.88,100.19
2023,7,27,67.86,90.54,8.96,5.05,27.08,26.79,30.12,24.84,100.05
2023,7,28,47.29,91.81,9.59,4.97,25.98,25.66,28.39,24.39,100.15
2023,7,29,0.23,88.65,8.8,2.58,26.26,26.19,29.56,23.81,100.35
2023,7,30,6.05,88.27,8.17,2.69,26.51,26.51,29.61,24.03,100.33
2023,7,31,1.53,89.07,7.27,2.07,26.43,26.4,29.86,23.78,100.22
2023,8,1,3.88,90.0,8.14,3.79,26.07,25.9,29.11,23.93,100.21
2023,8,2,3.55,88.58,9.05,4.76,25.93,25.61,28.67,23.88,100.27
2023,8,3,1.66,88.65,8.61,3.32,25.36,25.14,27.96,22.99,100.27
2023,8,4,2.08,85.56,7.79,2.29,26.36,26.27,30.09,23.05,100.47
2023,8,5,1.54,84.73,7.75,2.29,26.68,26.75,30.75,23.25,100.66
2023,8,6,0.4,84.7,7.59,2.0,26.62,26.73,30.73,23.18,100.53
2023,8,7,0.06,83.53,7.72,2.84,26.49,26.48,30.63,23.23,100.38
2023,8,8,0.04,83.9,6.66,1.88,26.31,26.5,30.41,22.42,100.5
2023,8,9,0.0,86.14,5.53,2.25,25.95,26.07,29.45,23.3,100.73
2023,8,10,0.0,80.66,5.53,0.97,27.11,27.22,30.6,23.92,100.78
2023,8,11,0.0,83.99,5.19,1.67,26.19,26.26,29.4,23.49,100.72
2023,8,12,0.0,83.57,5.49,1.75,26.35,26.38,30.01,23.23,100.65
2023,8,13,0.93,85.19,5.5,1.94,25.89,26.07,29.49,23.49,100.59
2023,8,14,1.16,85.8,3.87,1.25,25.28,25.53,28.65,22.42,100.68
2023,8,15,0.59,82.98,5.04,1.76,26.07,26.37,29.83,23.18,100.7
2023,8,16,0.1,83.71,5.1,1.81,26.29,26.49,30.26,23.02,100.7
2023,8,17,1.85,83.61,6.2,1.37,26.75,26.93,30.99,23.41,100.6
2023,8,18,34.06,91.64,6.88,3.48,24.89,24.79,26.95,23.29,100.41
2023,8,19,35.58,92.82,7.54,4.85,24.57,24.38,27.08,22.95,100.24
2023,8,20,4.97,89.51,7.17,2.54,25.0,24.92,27.86,22.88,100.29
2023,8,21,1.01,85.95,5.23,0.93,25.88,26.01,29.16,22.81,100.45
2023,8,22,0.84,86.24,4.95,1.19,26.23,26.3,29.51,23.45,100.49
2023,8,23,3.74,89.0,4.83,2.46,25.55,25.48,28.11,23.92,100.51
2023,8,24,4.08,87.29,4.93,1.71,25.85,25.65,28.73,23.5,100.43
2023,8,25,1.28,84.81,4.98,1.72,26.58,26.74,30.24,23.28,100.47
2023,8,26,1.19,85.39,5.8,2.08,26.58,26.72,29.89,23.99,100.58
2023,8,27,4.22,85.62,6.73,1.64,26.29,26.33,30.08,23.41,100.64
2023,8,28,0.21,83.39,5.03,1.33,26.15,26.32,30.27,23.09,100.63
2023,8,29,0.12,82.11,4.3,1.15,26.03,26.11,30.51,21.84,100.65
2023,8,30,0.0,81.43,4.96,1.58,26.01,26.05,30.23,21.75,100.73
2023,8,31,0.62,82.12,3.95,0.94,26.39,26.54,30.54,22.38,100.73
2023,9,1,0.04,79.01,3.19,0.29,27.54,27.48,31.44,23.07,100.7
2023,9,2,0.47,82.11,2.92,0.78,27.78,27.88,31.61,24.19,100.6
2023,9,3,18.09,87.37,4.17,1.51,27.06,27.09,30.46,24.39,100.43
2023,9,4,20.92,88.63,5.16,1.76,26.58,26.39,29.24,24.29,100.24
2023,9,5,43.54,89.71,6.59,2.26,26.68,26.55,29.87,24.44,100.13
2023,9,6,11.49,88.41,5.88,2.16,26.62,26.69,30.46,24.01,100.13
2023,9,7,8.93,90.73,4.02,0.36,26.18,26.38,29.39,23.85,100.06
2023,9,8,3.16,89.9,7.13,1.69,26.26,26.31,29.68,24.02,100.1
2023,9,9,5.47,89.03,6.42,2.43,26.48,26.47,30.3,23.67,100.14
2023,9,10,2.11,89.4,7.49,3.17,25.64,25.59,29.07,23.19,100.25
2023,9,11,1.84,88.2,6.4,1.89,25.44,25.36,28.47,23.12,100.37
2023,9,12,0.33,86.81,6.82,2.33,25.91,25.84,29.78,22.97,100.44
2023,9,13,5.57,89.85,5.77,2.31,24.69,24.65,27.29,22.1,100.45
2023,9,14,7.96,92.21,6.22,3.0,24.26,24.1,26.43,22.52,100.44
2023,9,15,1.42,90.9,7.81,4.46,24.57,24.32,27.0,23.13,100.32
2023,9,16,0.15,85.93,7.02,1.95,25.02,24.86,28.36,22.84,100.44
2023,9,17,0.53,80.94,5.49,0.85,26.47,26.22,30.83,22.21,100.46
2023,9,18,0.28,80.06,4.13,0.71,26.87,26.67,30.85,22.46,100.48
2023,9,19,0.01,84.16,5.41,1.06,26.54,26.28,29.68,23.83,100.61
2023,9,20,2.92,89.1,3.46,1.29,25.95,25.85,29.05,23.56,100.66
2023,9,21,13.81,88.36,2.76,1.44,26.06,26.24,29.72,23.1,100.65
2023,9,22,19.11,86.08,3.93,0.22,26.59,26.61,30.42,23.13,100.63
2023,9,23,8.55,88.01,3.04,1.04,26.25,26.21,29.36,23.58,100.68
2023,9,24,13.19,89.12,2.28,0.45,25.68,25.7,29.16,23.4,100.64
2023,9,25,12.0,88.44,3.84,1.28,26.16,26.2,29.76,23.52,100.55
2023,9,26,1.21,88.06,3.35,1.04,26.08,26.15,29.61,22.95,100.58
2023,9,27,0.15,86.9,2.92,0.98,26.5,26.37,29.54,23.49,100.59
2023,9,28,0.65,85.52,2.24,0.72,26.72,26.57,30.27,23.42,100.56
2023,9,29,24.39,82.67,1.53,0.46,27.01,26.57,29.75,24.0,100.58
2023,9,30,2.72,82.52,2.6,0.58,26.71,26.48,29.87,23.19,100.57
2023,10,1,0.88,79.67,2.82,0.36,26.92,26.59,30.5,23.03,100.49
2023,10,2,3.26,83.72,4.47,1.87,26.45,26.35,30.88,22.59,100.5
2023,10,3,1.13,83.22,5.68,2.2,25.89,25.71,30.27,23.0,100.68
2023,10,4,0.0,82.57,5.01,2.35,25.12,24.98,30.29,21.48,100.84
2023,10,5,0.0,82.6,4.32,2.63,24.53,24.4,30.27,19.75,100.85
2023,10,6,0.0,83.05,5.05,2.15,24.6,24.46,29.89,19.54,100.79
2023,10,7,0.0,80.5,4.16,0.48,25.78,25.46,30.62,20.49,100.88
2023,10,8,0.0,78.69,3.45,0.27,26.17,25.63,30.79,20.9,101.01
2023,10,9,0.0,79.41,3.0,0.34,26.19,25.84,30.81,20.82,101.14
2023,10,10,0.0,79.01,2.92,0.66,25.84,25.36,30.57,20.68,101.15
2023,10,11,0.0,75.6,2.14,0.66,25.86,25.09,30.57,20.68,101.16
2023,10,12,0.0,75.36,2.78,1.12,25.9,25.1,30.69,21.59,101.27
2023,10,13,0.0,74.89,2.62,0.3,25.94,25.18,30.6,22.5,101.36
2023,10,14,0.0,74.82,2.73,0.57,25.66,25.02,30.46,21.37,101.31
2023,10,15,0.0,74.02,2.18,0.24,25.52,25.05,30.62,20.42,101.14
2023,10,16,0.0,76.63,2.43,1.08,25.09,24.72,30.17,20.93,101.19
2023,10,17,0.0,75.76,3.27,0.19,24.41,23.83,29.8,20.62,101.29
2023,10,18,0.17,77.75,2.6,0.72,24.87,24.42,29.65,20.64,101.36
2023,10,19,0.11,80.63,2.58,1.36,24.95,24.67,29.74,20.53,101.35
2023,10,20,0.14,84.64,3.42,1.96,24.04,24.15,29.28,19.67,101.39
2023,10,21,0.02,84.5,4.4,1.97,22.82,22.86,28.63,18.6,101.47
2023,10,22,0.0,80.16,4.19,2.29,22.03,21.87,28.42,16.33,101.49
2023,10,23,0.0,79.91,4.88,1.19,21.88,21.54,27.87,16.88,101.34
2023,10,24,0.0,76.47,4.96,1.29,21.27,20.57,27.04,15.99,101.31
2023,10,25,0.0,72.26,5.0,1.1,21.43,20.32,27.24,17.06,101.46
2023,10,26,0.0,71.17,4.58,1.28,21.22,19.97,27.02,16.67,101.51
2023,10,27,0.0,70.31,3.84,1.02,20.77,19.69,27.18,16.38,101.42
